Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Total Irr,Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W),Including Shade,Scaled For System,Better Shade Calc,Scaled 2,Diff,Ideal,Shaded Daily Output (W),Ideal Daily Output (W),Percentage
1,1,0,0,0,0,15,2.5,0.13,0,15,0,0,,,,,,,,
1,1,1,0,0,0,14,2.5,0.13,0,14,0,0,,,,,,,,
1,1,2,0,0,0,14,2.5,0.13,0,14,0,0,,,,,,,,
1,1,3,0,0,0,14,2.4,0.13,0,14,0,0,,,,,,,,
1,1,4,0,0,0,13,2.3,0.13,0,13,0,0,,,,,,,,
1,1,5,0,0,0,13,2.3,0.13,0,13,0,0,,,,,,,,
1,1,6,0,0,0,13,2.3,0.13,0,13,0,0,,,,,,,,
1,1,7,0,0,0,14,2.8,0.13,0,0,0,0,,,,,,,,
1,1,8,433,68,501,16,3,0.13,299.034,23.037,272.13,40.8195,462.89313,36.93580838,418.8520671,-44.04106293,3085.9542,21296.5024,32173.77996,0.6619210559
1,1,9,116,164,280,19,2.7,0.13,248.035,25.154,223.543,33.53145,380.246643,130.9323286,1484.772606,1104.525963,2534.97762,21296.5024,32173.77996,0.6619210559
1,1,10,784,97,881,21,2.2,0.13,618.029,37.85,542.44,81.366,922.69044,59.72381385,677.268049,-245.422391,6151.2696,21296.5024,32173.77996,0.6619210559
1,1,11,831,103,934,22,1.6,0.13,650.118,42.036,557.872,557.872,6326.26848,557.872,6326.26848,0,6326.26848,21296.5024,32173.77996,0.6619210559
1,1,12,846,105,951,23,1.4,0.13,609.679,42.642,520.42,520.42,5901.5628,520.42,5901.5628,0,5901.5628,21296.5024,32173.77996,0.6619210559
1,1,13,817,110,927,24,1.4,0.13,504.021,40.21,430.813,430.813,4885.41942,430.813,4885.41942,0,4885.41942,21296.5024,32173.77996,0.6619210559
1,1,14,0,151,151,24,1.3,0.13,140.985,28.631,120.747,120.747,1369.27098,120.747,1369.27098,0,1369.27098,21296.5024,32173.77996,0.6619210559
1,1,15,682,90,772,23,1.2,0.13,173.703,28.45,119.557,119.557,1355.77638,13.93799223,158.0568319,-1197.719548,1355.77638,21296.5024,32173.77996,0.6619210559
1,1,16,473,69,542,22,1,0.13,51.109,23.808,42.926,42.926,486.78084,5.464749077,61.97025454,-424.8105855,486.78084,21296.5024,32173.77996,0.6619210559
1,1,17,68,14,82,20,1,0.13,13.578,20.405,6.746,6.746,76.49964,1.151756098,13.06091415,-63.43872585,76.49964,21296.5024,32173.77996,0.6619210559
1,1,18,0,0,0,19,1.4,0.13,0,19,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,19,0,0,0,18,1.8,0.13,0,18,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,20,0,0,0,17,2.2,0.13,0,17,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,21,0,0,0,17,2.4,0.13,0,17,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,22,0,0,0,16,2.4,0.13,0,16,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,1,23,0,0,0,15,2.3,0.13,0,15,0,0,0,0,0,0,0,21296.5024,32173.77996,0.6619210559
1,2,0,0,0,0,15,2.1,0.13,0,15,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,1,0,0,0,15,2,0.13,0,15,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,2,0,0,0,14,1.9,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,3,0,0,0,14,1.9,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,4,0,0,0,14,2,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,5,0,0,0,14,2,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,6,0,0,0,14,2,0.13,0,14,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,7,0,0,0,15,2.3,0.13,0,0,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,8,116,80,196,18,2.3,0.13,149.412,21.981,132.968,19.9452,226.178568,54.27265306,615.4518857,389.2733177,1507.85712,22143.56981,30450.66696,0.7271949032
1,2,9,162,160,322,20,1.7,0.13,270.261,28.154,241.786,36.2679,411.277986,120.1421118,1362.411548,951.1335618,2741.85324,22143.56981,30450.66696,0.7271949032
1,2,10,432,189,621,22,1,0.13,489.192,39.369,422.861,63.42915,719.286561,128.6968261,1459.422008,740.1354468,4795.24374,22143.56981,30450.66696,0.7271949032
1,2,11,822,107,929,23,0.7,0.13,649.649,47.968,543.843,543.843,6167.17962,543.843,6167.17962,0,6167.17962,22143.56981,30450.66696,0.7271949032
1,2,12,839,109,948,24,0.7,0.13,611.054,47.47,511.143,511.143,5796.36162,511.143,5796.36162,0,5796.36162,22143.56981,30450.66696,0.7271949032
1,2,13,549,198,747,24,0.8,0.13,454.641,40.953,385.519,385.519,4371.78546,385.519,4371.78546,0,4371.78546,22143.56981,30450.66696,0.7271949032
1,2,14,381,207,588,24,0.6,0.13,312.462,36.206,259.559,259.559,2943.39906,91.37536224,1036.196608,-1907.202452,2943.39906,22143.56981,30450.66696,0.7271949032
1,2,15,49,161,210,23,0.5,0.13,147.794,28.969,125.436,125.436,1422.44424,96.1676,1090.540584,-331.903656,1422.44424,22143.56981,30450.66696,0.7271949032
1,2,16,230,84,314,22,0.6,0.13,65.34,24.574,55.418,55.418,628.44012,14.82519745,168.1177391,-460.3223809,628.44012,22143.56981,30450.66696,0.7271949032
1,2,17,0,14,14,21,0.8,0.13,13.578,21.426,6.711,6.711,76.10274,6.711,76.10274,0,76.10274,22143.56981,30450.66696,0.7271949032
1,2,18,0,0,0,20,0.8,0.13,0,20,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,19,0,0,0,19,0.8,0.13,0,19,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,20,0,0,0,18,0.8,0.13,0,18,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,21,0,0,0,18,1,0.13,0,18,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,22,0,0,0,17,1.2,0.13,0,17,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,2,23,0,0,0,17,1.4,0.13,0,17,0,0,0,0,0,0,0,22143.56981,30450.66696,0.7271949032
1,3,0,0,0,0,17,1.4,0.13,0,17,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,1,0,0,0,16,1.4,0.13,0,16,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,2,0,0,0,16,1.4,0.13,0,16,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,3,0,0,0,16,1.4,0.13,0,16,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,4,0,0,0,16,1.3,0.13,0,16,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,5,0,0,0,16,1.3,0.13,0,16,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,6,0,0,0,16,1.3,0.13,0,16,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,7,0,0,0,17,1.5,0.13,0,0,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,8,490,59,549,19,1.9,0.13,317.738,28.177,283.932,42.5898,482.968332,30.51363934,346.0246702,-136.9436618,3219.78888,15982.51193,31597.39044,0.5058174649
1,3,9,692,82,774,21,2,0.13,510.994,35.527,455.492,68.3238,774.791892,48.2562584,547.2259702,-227.5659218,5165.27928,15982.51193,31597.39044,0.5058174649
1,3,10,795,91,886,22,1.9,0.13,620.201,39.959,539.895,80.98425,918.361395,55.45196953,628.8253344,-289.5360606,6122.4093,15982.51193,31597.39044,0.5058174649
1,3,11,834,100,934,23,1.8,0.13,651.335,42.226,558.499,558.499,6333.37866,558.499,6333.37866,0,6333.37866,15982.51193,31597.39044,0.5058174649
1,3,12,159,298,457,24,1.9,0.13,383.763,35.041,330.261,330.261,3745.15974,330.261,3745.15974,0,3745.15974,15982.51193,31597.39044,0.5058174649
1,3,13,26,236,262,24,1.9,0.13,233.946,30.724,201.273,201.273,2282.43582,201.273,2282.43582,0,2282.43582,15982.51193,31597.39044,0.5058174649
1,3,14,134,238,372,25,1.7,0.13,257.611,32.71,219.153,219.153,2485.19502,140.2107903,1589.990362,-895.2046577,2485.19502,15982.51193,31597.39044,0.5058174649
1,3,15,576,108,684,24,1.3,0.13,176.299,29.484,126.356,126.356,1432.87704,19.95094737,226.2437432,-1206.633297,1432.87704,15982.51193,31597.39044,0.5058174649
1,3,16,159,93,252,23,0.9,0.13,75.065,25.727,63.785,63.785,723.3219,23.53970238,266.940225,-456.381675,723.3219,15982.51193,31597.39044,0.5058174649
1,3,17,70,16,86,21,0.7,0.13,15.518,21.5,7.72,7.72,87.5448,1.43627907,16.28740465,-71.25739535,87.5448,15982.51193,31597.39044,0.5058174649
1,3,18,0,0,0,20,0.9,0.13,0,20,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,19,0,0,0,20,1.2,0.13,0,20,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,20,0,0,0,19,1.6,0.13,0,19,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,21,0,0,0,18,2.2,0.13,0,18,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,22,0,0,0,18,2.7,0.13,0,18,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,3,23,0,0,0,18,3.1,0.13,0,18,0,0,0,0,0,0,0,15982.51193,31597.39044,0.5058174649
1,4,0,0,0,0,17,3,0.13,0,17,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,1,0,0,0,17,2.5,0.13,0,17,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,2,0,0,0,17,2.2,0.13,0,17,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,3,0,0,0,17,2.1,0.13,0,17,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,4,0,0,0,17,2,0.13,0,17,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,5,0,0,0,16,2,0.13,0,16,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,6,0,0,0,16,2,0.13,0,16,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,7,0,0,0,18,2.4,0.13,0,0,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,8,570,50,620,20,2.9,0.13,345.489,28.272,309.467,46.42005,526.403367,24.95701613,283.0125629,-243.3908041,3509.35578,16108.57399,33491.7261,0.4809717462
1,4,9,755,68,823,22,2.9,0.13,530.168,34.753,474.775,71.21625,807.592275,39.22806804,444.8462916,-362.7459834,5383.9485,16108.57399,33491.7261,0.4809717462
1,4,10,835,80,915,23,3,0.13,634.755,37.979,557.368,83.6052,948.082968,48.73162842,552.6166662,-395.4663018,6320.55312,16108.57399,33491.7261,0.4809717462
1,4,11,307,263,570,24,2.9,0.13,470.133,35.232,408.775,408.775,4635.5085,408.775,4635.5085,0,4635.5085,16108.57399,33491.7261,0.4809717462
1,4,12,193,296,489,25,2.6,0.13,402.527,35.121,347.001,347.001,3934.99134,347.001,3934.99134,0,3934.99134,16108.57399,33491.7261,0.4809717462
1,4,13,433,238,671,25,2.4,0.13,436.746,36.403,376.489,376.489,4269.38526,376.489,4269.38526,0,4269.38526,16108.57399,33491.7261,0.4809717462
1,4,14,425,200,625,25,2.2,0.13,321.854,33.657,270.101,270.101,3062.94534,86.43232,980.1425088,-2082.802831,3062.94534,16108.57399,33491.7261,0.4809717462
1,4,15,413,140,553,24,1.9,0.13,178.394,28.956,136.094,136.094,1543.30596,34.45417722,390.7103696,-1152.59559,1543.30596,16108.57399,33491.7261,0.4809717462
1,4,16,37,88,125,23,1.4,0.13,74.991,25.411,63.865,63.865,724.2291,44.96096,509.8572864,-214.3718136,724.2291,16108.57399,33491.7261,0.4809717462
1,4,17,0,21,21,21,1,0.13,18.899,21.563,9.48,9.48,107.5032,9.48,107.5032,0,107.5032,16108.57399,33491.7261,0.4809717462
1,4,18,0,0,0,20,0.9,0.13,0,20,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,19,0,0,0,20,0.8,0.13,0,20,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,20,0,0,0,20,0.6,0.13,0,20,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,21,0,0,0,19,0.7,0.13,0,19,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,22,0,0,0,19,0.8,0.13,0,19,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,4,23,0,0,0,18,1,0.13,0,18,0,0,0,0,0,0,0,16108.57399,33491.7261,0.4809717462
1,5,0,0,0,0,18,1.2,0.13,0,18,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,1,0,0,0,17,1.4,0.13,0,17,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,2,0,0,0,17,1.5,0.13,0,17,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,3,0,0,0,17,1.5,0.13,0,17,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,4,0,0,0,16,1.6,0.13,0,16,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,5,0,0,0,16,1.7,0.13,0,16,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,6,0,0,0,16,1.8,0.13,0,16,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,7,0,0,0,17,2.3,0.13,0,0,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,8,74,79,153,18,2.6,0.13,128.457,21.236,113.855,17.07825,193.667355,58.78787582,666.6545118,472.9871568,1291.1157,18474.45185,32576.31594,0.5671129875
1,5,9,734,76,810,20,2.7,0.13,527.449,33.136,475.116,71.2674,808.172316,44.57878519,505.523424,-302.648892,5387.81544,18474.45185,32576.31594,0.5671129875
1,5,10,497,175,672,22,3,0.13,518.064,34.206,458.181,68.72715,779.365881,119.3179688,1353.065766,573.6998846,5195.77254,18474.45185,32576.31594,0.5671129875
1,5,11,470,225,695,23,3,0.13,543.467,35.778,474.187,474.187,5377.28058,474.187,5377.28058,0,5377.28058,18474.45185,32576.31594,0.5671129875
1,5,12,573,202,775,24,3,0.13,545.975,36.834,474.071,474.071,5375.96514,474.071,5375.96514,0,5375.96514,18474.45185,32576.31594,0.5671129875
1,5,13,526,209,735,24,3,0.13,457.322,34.74,397.944,397.944,4512.68496,397.944,4512.68496,0,4512.68496,18474.45185,32576.31594,0.5671129875
1,5,14,809,97,906,24,3,0.13,367.219,32.506,305.35,305.35,3462.669,32.69199779,370.727255,-3091.941745,3462.669,18474.45185,32576.31594,0.5671129875
1,5,15,733,83,816,23,2.8,0.13,182.936,27.136,126.471,126.471,1434.18114,12.86408456,145.8787189,-1288.302421,1434.18114,18474.45185,32576.31594,0.5671129875
1,5,16,574,61,635,21,2.1,0.13,43.25,22.196,36.306,36.306,411.71004,3.487662992,39.55009833,-372.1599417,411.71004,18474.45185,32576.31594,0.5671129875
1,5,17,0,25,25,19,1.5,0.13,21.963,19.58,11.21,11.21,127.1214,11.21,127.1214,0,127.1214,18474.45185,32576.31594,0.5671129875
1,5,18,0,0,0,18,1.5,0.13,0,18,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,19,0,0,0,17,1.5,0.13,0,17,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,20,0,0,0,17,1.4,0.13,0,17,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,21,0,0,0,17,1.4,0.13,0,17,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,22,0,0,0,16,1.4,0.13,0,16,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,5,23,0,0,0,16,1.5,0.13,0,16,0,0,0,0,0,0,0,18474.45185,32576.31594,0.5671129875
1,6,0,0,0,0,16,1.5,0.13,0,16,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,1,0,0,0,16,1.5,0.13,0,16,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,2,0,0,0,16,1.5,0.13,0,16,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,3,0,0,0,16,1.5,0.13,0,16,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,4,0,0,0,16,1.4,0.13,0,16,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,5,0,0,0,16,1.2,0.13,0,16,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,6,0,0,0,16,1.1,0.13,0,16,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,7,0,0,0,17,1.3,0.13,0,0,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,8,526,54,580,19,1.8,0.13,329.774,28.727,294.449,44.16735,500.857749,27.41421724,310.8772235,-189.9805255,3339.05166,7046.496627,22039.15392,0.3197262768
1,6,9,712,77,789,20,2.5,0.13,518.575,33.389,466.443,69.96645,793.419543,45.52105323,516.2087437,-277.2107993,5289.46362,7046.496627,22039.15392,0.3197262768
1,6,10,753,106,859,21,3.2,0.13,614.05,35.013,544.664,81.6996,926.473464,67.21115716,762.1745222,-164.2989418,6176.48976,7046.496627,22039.15392,0.3197262768
1,6,11,0,25,25,21,3.9,0.13,23.678,21.481,19.216,19.216,217.90944,19.216,217.90944,0,217.90944,7046.496627,22039.15392,0.3197262768
1,6,12,0,130,130,21,4.3,0.13,123.49,23.371,106.69,106.69,1209.8646,106.69,1209.8646,0,1209.8646,7046.496627,22039.15392,0.3197262768
1,6,13,0,134,134,20,4.5,0.13,126.752,22.369,110.259,110.259,1250.33706,110.259,1250.33706,0,1250.33706,7046.496627,22039.15392,0.3197262768
1,6,14,176,242,418,20,4.6,0.13,276.992,25.1,243.07,243.07,2756.4138,140.7247368,1595.818516,-1160.595284,2756.4138,7046.496627,22039.15392,0.3197262768
1,6,15,108,173,281,19,4.6,0.13,164.196,22.011,141.408,141.408,1603.56672,87.05901779,987.2492618,-616.3174582,1603.56672,7046.496627,22039.15392,0.3197262768
1,6,16,0,21,21,18,4.6,0.13,19.844,18.367,16.427,16.427,186.28218,16.427,186.28218,0,186.28218,7046.496627,22039.15392,0.3197262768
1,6,17,0,2,2,16,4.9,0.13,1.885,16.028,0.862,0.862,9.77508,0.862,9.77508,0,9.77508,7046.496627,22039.15392,0.3197262768
1,6,18,0,0,0,15,5.4,0.13,0,15,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,19,0,0,0,13,5.7,0.13,0,13,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,20,0,0,0,12,5.6,0.13,0,12,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,21,0,0,0,11,5.4,0.13,0,11,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,22,0,0,0,11,5.3,0.13,0,11,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,6,23,0,0,0,10,5.4,0.13,0,10,0,0,0,0,0,0,0,7046.496627,22039.15392,0.3197262768
1,7,0,0,0,0,10,5.7,0.13,0,10,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,1,0,0,0,9,6,0.13,0,9,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,2,0,0,0,9,6.2,0.13,0,9,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,3,0,0,0,8,6.2,0.13,0,8,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,4,0,0,0,7,6,0.13,0,7,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,5,0,0,0,6,5.8,0.13,0,6,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,6,0,0,0,5,5.6,0.13,0,5,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,7,0,0,0,5,5.8,0.13,0,0,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,8,671,47,718,6,6.1,0.13,387.441,11.995,370.3,55.545,629.8803,24.23969359,274.8781253,-355.0021747,4199.202,22252.01713,44616.68568,0.4987375641
1,7,9,860,63,923,7,6.1,0.13,588.026,16.14,565.938,84.8907,962.660538,38.62848754,438.0470487,-524.6134893,6417.73692,22252.01713,44616.68568,0.4987375641
1,7,10,942,71,1013,9,6,0.13,694.122,19.886,653.725,98.05875,1111.986225,45.81883021,519.5855346,-592.4006904,7413.2415,22252.01713,44616.68568,0.4987375641
1,7,11,980,75,1055,11,5.7,0.13,723.789,22.726,670.316,670.316,7601.38344,670.316,7601.38344,0,7601.38344,22252.01713,44616.68568,0.4987375641
1,7,12,993,76,1069,12,5.4,0.13,678.665,23.383,625.479,625.479,7092.93186,625.479,7092.93186,0,7092.93186,22252.01713,44616.68568,0.4987375641
1,7,13,979,77,1056,13,5.1,0.13,565.889,22.837,520.576,520.576,5903.33184,520.576,5903.33184,0,5903.33184,22252.01713,44616.68568,0.4987375641
1,7,14,945,73,1018,14,5,0.13,400.16,20.933,348.512,348.512,3952.12608,24.99152849,283.403933,-3668.722147,3952.12608,22252.01713,44616.68568,0.4987375641
1,7,15,874,65,939,13,4.9,0.13,197.962,16.246,139.838,139.838,1585.76292,9.679946752,109.7705962,-1475.992324,1585.76292,22252.01713,44616.68568,0.4987375641
1,7,16,721,50,771,12,4.3,0.13,37.163,12.715,32.271,32.271,365.95314,2.092801556,23.73236965,-342.2207704,365.95314,22252.01713,44616.68568,0.4987375641
1,7,17,291,18,309,10,3.9,0.13,14.351,10.246,7.497,7.497,85.01598,0.4367184466,4.952387184,-80.06359282,85.01598,22252.01713,44616.68568,0.4987375641
1,7,18,0,0,0,8,4.2,0.13,0,8,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,19,0,0,0,8,4.4,0.13,0,8,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,20,0,0,0,7,4.4,0.13,0,7,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,21,0,0,0,6,4.3,0.13,0,6,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,22,0,0,0,6,4,0.13,0,6,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,7,23,0,0,0,5,3.8,0.13,0,5,0,0,0,0,0,0,0,22252.01713,44616.68568,0.4987375641
1,8,0,0,0,0,5,3.7,0.13,0,5,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,1,0,0,0,5,3.5,0.13,0,5,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,2,0,0,0,5,3.5,0.13,0,5,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,3,0,0,0,5,3.4,0.13,0,5,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,4,0,0,0,5,3.3,0.13,0,5,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,5,0,0,0,5,3.2,0.13,0,5,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,6,0,0,0,5,3.2,0.13,0,5,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,7,0,0,0,6,3.3,0.13,0,0,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,8,572,55,627,8,3.4,0.13,353.421,15.795,332.326,49.8489,565.286526,29.15140351,330.5769158,-234.7096102,3768.57684,20694.52399,40707.4248,0.5083722217
1,8,9,767,75,842,11,3.2,0.13,547.934,23.536,512.439,76.86585,871.658739,45.64480404,517.6120778,-354.0466612,5811.05826,20694.52399,40707.4248,0.5083722217
1,8,10,859,84,943,15,3.1,0.13,659.425,30.303,596.67,89.5005,1014.93567,53.14981972,602.7189557,-412.2167143,6766.2378,20694.52399,40707.4248,0.5083722217
1,8,11,901,89,990,17,2.8,0.13,688.702,33.79,611.074,611.074,6929.57916,611.074,6929.57916,0,6929.57916,20694.52399,40707.4248,0.5083722217
1,8,12,915,90,1005,18,2.2,0.13,647.794,35.624,569.106,569.106,6453.66204,569.106,6453.66204,0,6453.66204,20694.52399,40707.4248,0.5083722217
1,8,13,905,88,993,19,1.6,0.13,541.698,35.673,473.966,473.966,5374.77444,473.966,5374.77444,0,5374.77444,20694.52399,40707.4248,0.5083722217
1,8,14,867,83,950,20,1.1,0.13,381.255,32.99,317.31,317.31,3598.2954,27.72287368,314.3773876,-3283.918012,3598.2954,20694.52399,40707.4248,0.5083722217
1,8,15,789,74,863,19,0.9,0.13,193.886,25.548,135.038,135.038,1531.33092,11.57915643,131.3076339,-1400.023286,1531.33092,20694.52399,40707.4248,0.5083722217
1,8,16,626,57,683,17,0.9,0.13,39.406,18.43,33.496,33.496,379.84464,2.795420205,31.70006512,-348.1445749,379.84464,20694.52399,40707.4248,0.5083722217
1,8,17,209,20,229,15,1.3,0.13,16.183,15.448,8.295,8.295,94.0653,0.7244541485,8.215310044,-85.84998996,94.0653,20694.52399,40707.4248,0.5083722217
1,8,18,0,0,0,14,1.6,0.13,0,14,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,19,0,0,0,13,1.8,0.13,0,13,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,20,0,0,0,12,1.9,0.13,0,12,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,21,0,0,0,12,1.9,0.13,0,12,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,22,0,0,0,12,1.8,0.13,0,12,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,8,23,0,0,0,12,1.6,0.13,0,12,0,0,0,0,0,0,0,20694.52399,40707.4248,0.5083722217
1,9,0,0,0,0,12,1.5,0.13,0,12,0,0,0,0,0,0,0,17718.0964,26201.65968,0.676220385
1,9,1,0,0,0,11,1.3,0.13,0,11,0,0,0,0,0,0,0,17718.0964,26201.65968,0.676220385
1,9,2,0,0,0,11,1.2,0.13,0,11,0,0,0,0,0,0,0,17718.0964,26201.65968,0.676220385
1,9,3,0,0,0,11,1.2,0.13,0,11,0,0,0,0,0,0,0,17718.0964,26201.65968,0.676220385
1,9,4,0,0,0,11,1.2,0.13,0,11,0,0,0,0,0,0,0,17718.0964,26201.65968,0.676220385
1,9,5,0,0,0,11,1.4,0.13,0,11,0,0,0,0,0,0,0,17718.0964,26201.65968,0.676220385
1,9,6,0,0,0,11,1.6,0.13,0,11,0,0,0,0,0,0,0,17718.0964,26201.65968,0.676220385
1,9,7,0,0,0,13,2,0.13,0,0,0,0,0,0,0,0,0,17718.0964,26201.65968,0.676220385
1,9,8,16,75,91,14,2.4,0.13,84.524,16.207,75.044,11.2566,127.649844,61.84945055,701.3727692,573.7229252,850.99896,17718.0964,26201.65968,0.676220385
1,9,9,0,102,102,16,2.6,0.13,98.763,18.489,87.848,13.1772,149.429448,87.848,996.19632,846.766872,996.19632,17718.0964,26201.65968,0.676220385
